date,Account,daily_pnl,num_trades,avg_trade_size,win_rate,long_short_ratio,sentiment_group,losing_day,trader_activity,consistency,next_day_pnl,profitable_next_day
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,145563.448374,249,1759.9534939759035,0.9518072289156626,0.012195121951219513,Neutral,False,Infrequent,Consistent,160450.518105,1
2024-10-27,0x430f09841d65beb3f27765503d0f850b8bce7713,160450.518105,43,6742.71976744186,0.8837209302325582,0.0,Greed,False,Infrequent,Consistent,110527.905862,1
2025-02-19,0x430f09841d65beb3f27765503d0f850b8bce7713,110527.905862,671,2807.6623994038746,0.4828614008941878,0.45869565217391306,Fear,False,Infrequent,Inconsistent,0.0,0
2025-06-15,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,186,1365.6282795698924,0.0,0.0,,False,Infrequent,Inconsistent,,0
2024-10-27,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,69282.42904,3711,494.23683912691996,0.3381837779574239,0.8808920425747593,Greed,False,Frequent,Inconsistent,32683.214094,1
2025-02-19,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32683.214094,4629,541.9522812702527,0.36552171095268954,0.9622721492157694,Fear,False,Frequent,Inconsistent,1378.073027,1
2025-06-15,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1378.073027,179,368.8205586592179,0.3575418994413408,0.6126126126126126,,False,Infrequent,Inconsistent,,0
2024-10-27,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,61076.167808,328,8444.161189024391,0.4115853658536585,1.2620689655172415,Greed,False,Infrequent,Inconsistent,613327.827224,1
2025-02-19,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,613327.827224,3806,8998.349072517078,0.4952706253284288,0.8944748631159781,Fear,False,Frequent,Inconsistent,3343.0556109999998,1
2025-06-15,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,3343.0556109999998,222,11511.476621621621,0.44144144144144143,1.5517241379310345,,False,Infrequent,Inconsistent,,0
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002,730,6219.798493150685,0.30684931506849317,0.9571045576407506,Greed,True,Infrequent,Inconsistent,-25991.506339,0
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.506339,1309,10190.317929717341,0.3315508021390374,1.1708126036484245,Neutral,True,Infrequent,Inconsistent,111230.498007,1
2024-10-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,111230.498007,1703,19645.16682912507,0.3282442748091603,1.2920592193808882,Greed,False,Infrequent,Inconsistent,223968.37089299998,1
2025-02-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,223968.37089299998,3737,20468.303636606903,0.39175809472839174,1.292638036809816,Fear,False,Frequent,Inconsistent,7687.978187,1
2025-06-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,7687.978187,105,17592.19438095238,0.49523809523809526,0.6666666666666666,,False,Infrequent,Inconsistent,,0
2024-10-27,0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0,223,3261.5788789237668,0.0,inf,Greed,False,Infrequent,Inconsistent,403501.648209,1
2025-02-19,0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,5777,28304.44506318158,0.4156136402977324,0.8450974129671032,Fear,False,Frequent,Inconsistent,436920.907007,1
2025-06-15,0x513b8629fe877bb581bf244e326a047b249c4ff1,436920.907007,6236,41153.69550032072,0.4021808851828095,1.278407014979905,,False,Frequent,Inconsistent,,0
2024-10-27,0x6d6a4b953f202f8df5bed40692e7fd865318264a,101539.274031,250,525.47136,1.0,0.0,Greed,False,Infrequent,Consistent,6979.340871,1
2025-02-19,0x6d6a4b953f202f8df5bed40692e7fd865318264a,6979.340871,572,891.0710664335664,0.2692307692307692,1.5309734513274336,Fear,False,Infrequent,Inconsistent,212.60187,1
2025-06-15,0x6d6a4b953f202f8df5bed40692e7fd865318264a,212.60187,153,568.6079738562091,0.1111111111111111,0.125,,False,Infrequent,Inconsistent,,0
2024-10-27,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,327545.999992,202,16311.138465346536,0.5148514851485149,1.0612244897959184,Greed,False,Infrequent,Inconsistent,98269.195073,1
2025-02-19,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,98269.195073,932,8098.078723175966,0.43991416309012876,0.47235387045813587,Fear,False,Infrequent,Inconsistent,3540.3708500000002,1
2025-06-15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,3540.3708500000002,456,1386.494692982456,0.07894736842105263,0.7471264367816092,,False,Infrequent,Inconsistent,,0
2024-10-27,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,51737.579418,419,2305.200429594272,0.028639618138424822,0.02696078431372549,Greed,False,Infrequent,Inconsistent,341945.434741,1
2025-02-19,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,341945.434741,939,2123.4002662406815,0.3961661341853035,1.5726027397260274,Fear,False,Infrequent,Inconsistent,9328.49,1
2025-06-15,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,9328.49,72,1269.3402777777778,0.75,3.0,,False,Infrequent,Consistent,,0
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.08419,3041,3677.8091055573827,0.8240710292666886,0.8633578431372549,Greed,False,Infrequent,Consistent,0.16271999999999998,1
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.16271999999999998,6,34.916666666666664,0.16666666666666666,1.0,Neutral,False,Infrequent,Inconsistent,37526.331877,1
2024-10-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,37526.331877,1016,2056.391348425197,0.8208661417322834,1.157112526539278,Greed,False,Infrequent,Consistent,136208.043913,1
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.043913,4885,2330.3033080859777,0.7985670419651996,0.9052262090483619,Fear,False,Frequent,Consistent,17518.784011,1
2025-06-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,17518.784011,945,1134.6507724867724,0.8253968253968254,2.2142857142857144,,False,Infrequent,Consistent,,0
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,3643.361287001287,0.4510939510939511,0.7923875432525952,Fear,False,Infrequent,Inconsistent,119.0,1
2025-06-15,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,119.0,5,36540.202000000005,0.8,4.0,,False,Infrequent,Consistent,,0
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,15,2333.2533333333336,0.0,inf,Greed,False,Infrequent,Inconsistent,196303.792847,1
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3056,2249.731112565445,0.28763089005235604,0.47135291285507946,Fear,False,Frequent,Inconsistent,-363924.917628,0
2025-06-15,0x8170715b3b381dffb7062c0298972d4727a0a63b,-363924.917628,1530,2113.4516666666664,0.5764705882352941,4.8396946564885495,,True,Infrequent,Inconsistent,,0
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676000000012,54,933.2848148148149,0.037037037037037035,6.714285714285714,Greed,False,Infrequent,Inconsistent,64510.169958,1
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64510.169958,1802,6453.556398446171,0.3401775804661487,1.4651162790697674,Fear,False,Infrequent,Inconsistent,991.770272,1
2025-06-15,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,991.770272,55,5808.497454545454,0.2909090909090909,2.0555555555555554,,False,Infrequent,Inconsistent,,0
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,-9125.157325,3810,772.3728871391077,0.32545931758530183,0.8108365019011406,Neutral,True,Frequent,Inconsistent,39978.37791,1
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,39978.37791,1804,1376.8141407982262,0.32427937915742794,0.5301102629346904,Greed,False,Infrequent,Inconsistent,46257.358187,1
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,46257.358187,5602,658.3625776508391,0.30739021777936454,0.7789774531597332,Fear,False,Frequent,Inconsistent,-33193.569796,0
2025-06-15,0x8477e447846c758f5a675856001ea72298fd9cb5,-33193.569796,3782,843.5024510840825,0.10100475938656796,1.3607990012484394,,True,Frequent,Inconsistent,,0
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326,724,2936.1985911602205,0.07596685082872928,7.829268292682927,Greed,False,Infrequent,Inconsistent,100502.420808,1
